model_id,geography,parceltype,saletype,estimator,predictor_set,ycol,weights,disclosure,stack,xcolset_base,xcols_buildings,xcols_space,xcols_race,area,time,jsd
region-nb,region-nb,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county,county,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region,region,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county-nb,county-nb,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
state,state,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb2,region-nb2,v,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv,region-nb,mv,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county_mv,county,mv,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv,region,mv,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-d,region-nb,v-d,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-d,region,v-d,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-rural,region-nb,v-rural,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-rural,region,v-rural,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-exrur,region-nb,v-exrur,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-exrur,region,v-exrur,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-exurban,region-nb,v-exurban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-exurban,region,v-exurban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-urbex,region-nb,v-urbex,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-urbex,region,v-urbex,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_v-urban,region-nb,v-urban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_v-urban,region,v-urban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-all,region-nb,mv-all,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-all,region,mv-all,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-rural,region-nb,mv-rural,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-rural,region,mv-rural,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-exrur,region-nb,mv-exrur,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-exrur,region,mv-exrur,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-exurban,region-nb,mv-exurban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-exurban,region,mv-exurban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-urbex,region-nb,mv-urbex,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-urbex,region,mv-urbex,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv-urban,region-nb,mv-urban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv-urban,region,mv-urban,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_deed-zf1,region-nb,v,deed-zf1,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_deed-zf0,region-nb,v,deed-zf0,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_full,region-nb,v,full,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_lm,region-nb,v,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county_lm,county,v,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_lm,region,v,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv_lm,region-nb,mv,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county_mv_lm,county,mv,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv_lm,region,mv,deed,lm,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_hgb,region-nb,v,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county_hgb,county,v,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_hgb,region,v,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv_hgb,region-nb,mv,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
